FIPS,EventRootCode,f0_
NP,06,-1.0966461436895372
PE,06,-1.2655451887545979
GM,06,-1.228605277572719
VT,06,-1.3114167521068161
HO,06,-1.4784019194942128
BD,06,0.1583741451848501
VC,06,1.4193065859438803
GJ,06,1.1909386058753879
MB,06,-1.4427886726180748
AU,06,-1.8429106189979354
LG,06,-1.1451406667177673
TW,06,-1.9990248932055519
US,06,-2.0873571471481571
UV,06,-0.18768731882612122
GR,06,-1.2269167365131612
MJ,06,-1.1152507982210573
IZ,06,-2.2048558658038946
BA,06,-0.20698170579384889
CI,06,-1.6710729148327232
RQ,06,-1.303206614608049
LH,06,-1.3767272864142097
FM,06,3.823197046158878
MI,06,-1.1218820163084768
FO,06,1.9735243732611909
RE,06,-2.0796369724122221
CN,06,0.12004226813971854
UP,06,-1.5813777565172877
GL,06,-0.706066150307084
DO,06,2.168680179260134
OD,14,-4.1686365017621876
SZ,14,-4.2745182033078049
SA,14,-4.5499678117877522
IM,14,-2.1699332362852273
BU,14,-3.0226594735932655
MP,14,-3.0713742616819757
EN,14,-2.5896332597521807
TZ,14,-2.5343211004845148
IV,14,-2.969865198906092
LU,14,-3.9153946476922177
FR,14,-3.9464758796639088
AC,14,-2.874841815841886
BG,14,-4.437120991659234
CA,14,-3.7340050396770983
PO,14,-3.6444755325975184
NP,14,-4.45831962340494
BX,14,-4.3820208611859321
SF,14,-4.42566514819981
VI,14,-1.7563948363617463
TX,14,1.7378437753395739
AE,14,-2.7648052692639675
MV,14,-5.5458921205034013
NE,14,-4.88664192222092
YM,14,-4.024181039399811
GQ,14,-2.5347921139366951
RE,14,-3.7861079204314372
SM,14,-3.7014147295238278
CD,14,-4.0934951305114966
VQ,14,-1.5496940225061011
CT,14,-3.1751716720124921
GK,14,-2.48070043306345
SL,14,-2.844300715256558
RP,14,-3.5303110305138543
SP,14,-3.1043210817992275
CG,14,-3.0625026140509823
NL,14,-4.3769045279920036
CO,14,-3.8920380481556731
AN,14,-1.469788060082748
TI,14,-2.3032437205367335
TU,14,-5.10836321451466
LY,14,-4.4861830286206086
RO,14,-3.1412336241327927
LA,14,-3.9622788660587474
TD,14,-2.9661351511715921
RS,14,-3.3810026326976486
SH,14,3.1300412068231496
GT,14,-3.8524741891095564
CF,14,-3.52372537884591
RW,14,-3.4850464713184932
EZ,14,-3.2281548150056834
KE,14,-4.3375051463098986
FO,14,1.8716577540107
AM,14,-3.5189594296612223
CE,14,-3.8823838872423071
OS,14,1.3745767277204848
JE,14,-4.6182577808658962
GR,14,-3.1774046666431466
PP,14,-3.2287840651748021
HO,14,-3.8362515223677547
AL,14,-4.5025687786487714
PM,14,-3.7009234765398764
SI,14,-3.9319781627804624
SG,14,-3.0367818184241662
UV,14,-1.9714453751207
VE,14,-3.3367627571871692
MX,14,-3.1547343963521537
MA,14,-1.7788157664310982
MH,14,-1.6401153460103597
ZI,14,-4.1232800195545014
PC,14,-3.7175028742072791
HA,14,-2.7356067940072806
GG,14,-2.7400099966873834
BK,14,-4.7510728047115238
TV,14,-4.881976347595975
SW,14,-4.9450690351724438
NZ,14,-3.153074179851695
ER,14,-3.0444453796752597
LH,14,-3.4729237281706831
MU,14,-4.3205085135616157
PK,14,-5.0219451349496831
IO,14,-3.3531311895053051
GP,14,-6.95652173913044
GV,14,-2.8690309594730454
SC,14,-1.2973122426889905
VM,14,-1.9361053288475172
LG,14,-2.692253128754265
PL,14,-2.5290806042789837
MR,14,-3.8572110154195656
GH,14,-3.7642342045590129
LO,14,-3.8170169116604455
CI,14,-3.94766795746572
NI,14,-3.6195520374944983
ZA,14,-2.1310228416033103
PU,14,-5.1991663437033715
DR,14,-3.5689916430982973
BF,14,-0.68613205773410457
SO,14,-4.5231332879362354
MI,14,-3.0159493586162704
BC,14,-2.3834049024407915
MG,14,-1.8052105740071696
UY,14,-3.7242577201943559
UG,14,-4.4666892306429293
FI,14,-4.0744324043111311
BP,14,-0.50643651041956839
MJ,14,-3.2701452984695187
ES,14,-3.9072724586833041
CJ,14,-1.2331651359869211
MY,14,-4.7665965336564557
CB,14,-3.9922146592861303
ST,14,-1.3860599541137901
MK,14,-3.9280840382431794
KV,14,-4.56213670731001
ET,14,-4.89927225403005
WZ,14,-2.4578456352945746
CV,14,-2.9200151747591323
TO,14,-2.3957731861777694
CK,14,-4.6390866824568926
EC,14,-3.6367157695121493
AU,14,-4.7954005159159871
VT,14,-3.7277122513219734
NS,14,-3.7004614219569993
MC,14,-4.3237511403379685
NG,14,-2.0817142921398379
LS,14,-5.31908286540752
US,14,-4.0207336579998207
PA,14,-4.0277829702692749
ML,14,-2.7019366433994736
UK,14,-3.9895466164358258
GI,14,-2.7860928916290648
MZ,14,-4.6584581331700115
CU,14,-3.9235189375264112
AO,14,-3.8687174789145113
KU,14,-3.8147944209862712
HU,14,-2.7510853898037224
AV,14,2.8319029089190195
JO,14,-4.0686848393303388
RQ,14,-3.3912115770003721
DA,14,-3.8953883714850073
SE,14,-2.6838721335823528
TK,14,-5.3461436421710689
BE,14,-3.9642394829814287
CY,14,-3.134609692117873
DJ,14,2.1203168091945237
BM,14,-4.1105713484077793
TP,14,-1.9989989455467065
BL,14,-3.7140345757842672
IC,14,-2.0585071976249045
BD,14,-0.648107215032789
BY,14,-3.9101364249584467
IS,14,-6.4281246121011382
EG,14,-4.2590177816427461
CW,14,0.047539019718277217
RB,14,-3.8900033495002657
UP,14,-3.6011082955886571
RI,14,-4.0416496573419129
CM,14,-4.5959073328164735
TW,14,-4.0516744195535219
UZ,14,-1.9484331041593763
LE,14,-4.4345674056803643
TN,14,-1.7280665458418523
DO,14,-0.6655651807495222
CN,14,-1.0830933319442146
MO,14,-2.9696495715710989
LI,14,-1.9265341278074171
IT,14,-3.1168890920774333
AS,14,-3.3937747352257537
BB,14,-3.1739121937115766
BN,14,-1.8173147997141996
GB,14,-2.4263475352968182
SY,14,-4.785328203290395
NC,14,-0.99500822084142215
BT,14,-1.279382683018284
WA,14,-3.4619685879743773
MF,14,-2.3515119316575763
QA,14,-5.3068924152412418
GM,14,-4.2353979428336261
MN,14,-2.0135029207288828
SN,14,-3.9124791455010235
KN,14,-4.1569730306358457
EI,14,-3.8932893014614689
BO,14,-2.6683979973295835
AJ,14,-3.2189777283794068
LT,14,-1.3205251255082646
IN,14,-4.587916262543458
BR,14,-3.7208069549346057
AF,14,-5.1377687236924086
SX,14,-0.013305990864278069
JA,14,-3.7073195564734016
MD,14,-2.7726112435984422
MT,14,-3.4739073914533574
CH,14,-3.6097505661142226
NU,14,-3.9541163004077102
WS,14,-3.3687105674362594
KZ,14,-2.6673129916058738
BA,14,-3.5177371052275945
PE,14,-3.7981020349166621
GY,14,-3.8161455630388956
JM,14,-3.47873968741829
SU,14,-4.3410012964516822
BH,14,-1.6723245028006926
CS,14,-3.9917020398972971
NO,14,-4.6041831443958143
AR,14,-3.5485351499319036
FP,14,-1.8438858732220476
IZ,14,-4.3823535232751976
ID,14,-3.7004997658751577
KG,14,-3.0909726568135709
FJ,14,-2.1462527481634748
AG,14,-3.6683545561790485
HK,14,-4.5395383248174408
IR,14,-6.0410371306773056
GL,14,-0.78332579970609351
HR,14,-4.104969367445376
KS,14,-3.1959311856473915
VC,14,0.29759377313605223
GA,14,-2.9161462470288035
AA,14,0.16870735208036991
TH,14,-4.2681593242120535
TS,14,-3.2967752367017753
GJ,14,-0.081477729506582358
MB,14,-2.3795280091346998
